# ENTITIES
entity_name,source_id,graph_data
 Glyph Interface,chunk-fcde7317fc7b036415d89ea81329b232,"{'entity_id': ' Glyph Interface', 'entity_type': 'equipment', 'description': 'The Glyph Interface is an innovative display on the back of the phone designed for communication and interaction. It uses Glyph light strips to provide new notification patterns and alerts.', 'source_id': 'chunk-fcde7317fc7b036415d89ea81329b232', 'file_path': 'unknown_source', 'created_at': 1749262945}"
 Glyph interface,chunk-8d629090523155bf0dd12f9021e8a28a,"{'entity_id': ' Glyph interface', 'entity_type': 'category', 'description': 'A specific user interface in a particular context or software, though the term is not elaborated in this text.', 'source_id': 'chunk-8d629090523155bf0dd12f9021e8a28a', 'file_path': 'unknown_source', 'created_at': 1749262945}"
100m Sprint Record,chunk-8dbcfd0ba7e5f79063be82c76153444e<SEP>chunk-aecf49d9e86fc2b3fbfb0f065b82e03e<SEP>chunk-77d37b7781a21f9ace596c3bcb0cbfd0<SEP>chunk-8a9c21c16874759496064e1fb0d09cef<SEP>chunk-65f13477800edffaf85ef49b0eb80982<SEP>chunk-ea4524a05ac17de1be9923e9a9dc9c59<SEP>chunk-fcacac32b6b6cffea40cb0a17d301d61<SEP>chunk-b1d82ee9e80b9a4011cc5dfdad909fc2<SEP>chunk-1f73d28d893bcd51ecb5c4b3b1f54870<SEP>chunk-ea3750d302ca3a5f45590d544e79cdaf<SEP>chunk-54f0e791bf9a53157a462f57f05674eb<SEP>chunk-136bde614c09969c0d7fb82cc253fd47<SEP>chunk-b6a5e79a49bc7db2a612f28136aee41c<SEP>chunk-fec2c3e80ab69404ff0b23b014c07483<SEP>chunk-39d4901014b867cda8bfaf59458315b9<SEP>chunk-92e27c35cbd2d81e7710bdeb957abdb9<SEP>chunk-c9025d462a4f9ed5f5840d5850b11449<SEP>chunk-8238a048f616eaf02f92d0455ae0f39b,"{'entity_id': '100m Sprint Record', 'entity_type': 'record', 'description': 'Noah Carter broke the global record for the 100m sprint at the World Athletics Championship, setting a new benchmark in athletics that denotes the fastest time achieved over this distance in track and field competitions. The 100m sprint record is an established athletic benchmark which Noah Carter has surpassed during his participation. This officially recognized best time represents the fastest recorded performance for running this distance in international sports events.', 'source_id': 'chunk-8dbcfd0ba7e5f79063be82c76153444e<SEP>chunk-aecf49d9e86fc2b3fbfb0f065b82e03e<SEP>chunk-77d37b7781a21f9ace596c3bcb0cbfd0<SEP>chunk-8a9c21c16874759496064e1fb0d09cef<SEP>chunk-65f13477800edffaf85ef49b0eb80982<SEP>chunk-ea4524a05ac17de1be9923e9a9dc9c59<SEP>chunk-fcacac32b6b6cffea40cb0a17d301d61<SEP>chunk-b1d82ee9e80b9a4011cc5dfdad909fc2<SEP>chunk-1f73d28d893bcd51ecb5c4b3b1f54870<SEP>chunk-ea3750d302ca3a5f45590d544e79cdaf<SEP>chunk-54f0e791bf9a53157a462f57f05674eb<SEP>chunk-136bde614c09969c0d7fb82cc253fd47<SEP>chunk-b6a5e79a49bc7db2a612f28136aee41c<SEP>chunk-fec2c3e80ab69404ff0b23b014c07483<SEP>chunk-39d4901014b867cda8bfaf59458315b9<SEP>chunk-92e27c35cbd2d81e7710bdeb957abdb9<SEP>chunk-c9025d462a4f9ed5f5840d5850b11449<SEP>chunk-8238a048f616eaf02f92d0455ae0f39b', 'file_path': 'unknown_source', 'created_at': 1749262937}"
220mAh,chunk-2f8202293fdace1a3a66be97a3995370,"{'entity_id': '220mAh', 'entity_type': 'category', 'description': 'Battery capacity of the Neckband Pro is rated at 220mAh.', 'source_id': 'chunk-2f8202293fdace1a3a66be97a3995370', 'file_path': 'unknown_source', 'created_at': 1749262937}"
24-hour system,chunk-7c7e41b65ef7bcc80c8f1decc9bf2928,"{'entity_id': '24-hour system', 'entity_type': 'category', 'description': 'A timekeeping system that uses a continuous sequence from midnight to the following midnight (00:00 - 23:59) instead of AM/PM notation.', 'source_id': 'chunk-7c7e41b65ef7bcc80c8f1decc9bf2928', 'file_path': 'unknown_source', 'created_at': 1749262945}"
24/7 Heart Rate Monitoring,chunk-bf93869f27e0db181fc1e8abda02b165,"{'entity_id': '24/7 Heart Rate Monitoring', 'entity_type': 'feature', 'description': ""Continuous heart rate monitoring throughout the day provides insights into one's cardiovascular health."", 'source_id': 'chunk-bf93869f27e0db181fc1e8abda02b165', 'file_path': 'unknown_source', 'created_at': 1749262945}"
25°C or 77°F,chunk-242b40fbdd789fce17cd5d53222cb91d,"{'entity_id': '25°C or 77°F', 'entity_type': 'category', 'description': 'Standard temperature condition used in product tests to ensure consistent results.', 'source_id': 'chunk-242b40fbdd789fce17cd5d53222cb91d', 'file_path': 'unknown_source', 'created_at': 1749262937}"
3.5mm Headphone Jack,chunk-3060d71588cf955b2b239dbba0bd791d,"{'entity_id': '3.5mm Headphone Jack', 'entity_type': 'category', 'description': 'A headphone jack is a port on the device for connecting headphones or other audio equipment.', 'source_id': 'chunk-3060d71588cf955b2b239dbba0bd791d', 'file_path': 'unknown_source', 'created_at': 1749262945}"
50% volume,chunk-242b40fbdd789fce17cd5d53222cb91d,"{'entity_id': '50% volume', 'entity_type': 'category', 'description': 'Volume level set during test conditions for measuring battery and charging performance.', 'source_id': 'chunk-242b40fbdd789fce17cd5d53222cb91d', 'file_path': 'unknown_source', 'created_at': 1749262937}"
5G network,chunk-9168201d4eac75ddffe0059a4394bb79,"{'entity_id': '5G network', 'entity_type': 'organization', 'description': '5G networks allow for faster data transfer speeds but might increase power consumption when used in conjunction with 4G, depending on the specific device configuration.', 'source_id': 'chunk-9168201d4eac75ddffe0059a4394bb79', 'file_path': 'unknown_source', 'created_at': 1749262945}"
